id,ts,asset,dir,entry,size,edge,left,ref,outcome,pnl,pps,pair,follower,in_0.51_0.60,in_0.51_0.80
1108,2026-09-16T19:21:11,BTC,UP,0.814,15.0,2.0,9m left,75741.66,WIN,2.79,0.186,True,True,False,False
1111,2026-09-16T20:00:35,BTC,UP,0.749,15.0,-4.5,14m left,75570.57,WIN,3.765,0.251,True,False,False,True
1112,2026-09-16T20:00:40,ETH,UP,0.744,15.0,-11.3,14m left,2395.89,WIN,3.84,0.256,True,True,False,True
1115,2026-09-16T20:34:35,ETH,UP,0.799,15.0,-2.6,10m left,2386.48,WIN,3.015,0.201,True,False,False,True
1116,2026-09-16T20:34:35,BTC,UP,0.732,15.0,3.1,10m left,75481.42,WIN,4.02,0.26799999999999996,True,True,False,True
1119,2026-09-16T20:48:20,BTC,UP,0.75,15.0,7.0,12m left,75913.3,WIN,3.75,0.25,True,False,False,True
1120,2026-09-16T20:48:21,ETH,UP,0.616,15.0,5.8,12m left,2404.27,WIN,5.76,0.384,True,True,False,True
1123,2026-09-16T21:18:57,ETH,UP,0.594,15.0,2.4,11m left,2410.98,LOSS,-8.91,-0.594,True,False,True,True
1124,2026-09-16T21:18:57,BTC,UP,0.681,15.0,9.5,11m left,76157.02,LOSS,-10.215,-0.6809999999999999,True,True,False,True
1127,2026-09-17T00:16:52,BTC,UP,0.774,15.0,7.7,13m left,75789.75,WIN,3.39,0.226,True,False,False,True
1128,2026-09-17T00:16:53,ETH,UP,0.806,15.0,0.9,13m left,2396.94,WIN,2.91,0.194,True,True,False,False
1131,2026-09-17T00:51:10,BTC,UP,0.761,15.0,3.8,9m left,76158.35,LOSS,-11.415,-0.7609999999999999,True,False,False,True
1132,2026-09-17T00:51:10,ETH,UP,0.705,15.0,4.1,9m left,2417.66,LOSS,-10.575,-0.705,True,True,False,True
1135,2026-09-17T01:34:49,ETH,UP,0.895,15.0,-9.0,10m left,2420.37,WIN,1.575,0.105,True,False,False,False
1136,2026-09-17T01:34:49,BTC,UP,0.788,15.0,7.9,10m left,76353.12,WIN,3.18,0.21200000000000002,True,True,False,True
1139,2026-09-17T13:06:18,ETH,UP,0.666,15.0,6.7,9m left,2440.46,WIN,5.01,0.33399999999999996,True,False,False,True
1140,2026-09-17T13:06:18,BTC,UP,0.636,15.0,1.5,9m left,76411.03,WIN,5.46,0.364,True,True,False,True
1143,2026-09-17T13:20:55,ETH,UP,0.786,15.0,5.4,9m left,2453.42,WIN,3.21,0.214,True,False,False,True
1144,2026-09-17T13:20:56,BTC,UP,0.746,15.0,-2.4,9m left,76753.15,WIN,3.81,0.254,True,True,False,True
1147,2026-09-17T14:47:26,ETH,UP,0.789,15.0,-2.8,13m left,2437.6,WIN,3.165,0.211,False,False,False,True
1149,2026-09-17T15:49:04,ETH,UP,0.627,15.0,8.1,11m left,2462.73,LOSS,-9.405,-0.627,True,False,False,True
1150,2026-09-17T15:49:04,BTC,UP,0.698,15.0,8.0,11m left,76559.97,LOSS,-10.47,-0.6980000000000001,True,True,False,True
1153,2026-09-17T16:18:33,BTC,UP,0.782,15.0,7.7,11m left,76285.48,WIN,3.27,0.218,True,False,False,True
1154,2026-09-17T16:18:34,ETH,UP,0.793,15.0,3.5,11m left,2449.46,WIN,3.105,0.207,True,True,False,True
1157,2026-09-17T16:32:44,BTC,UP,0.74,15.0,1.8,12m left,76397.64,WIN,3.9,0.26,True,False,False,True
1158,2026-09-17T16:32:45,ETH,UP,0.78,15.0,6.9,12m left,2453.38,WIN,3.3,0.22,True,True,False,True
1161,2026-09-17T16:53:35,ETH,UP,0.703,15.0,-6.0,6m left,2470.0,LOSS,-10.545,-0.703,True,False,False,True
1162,2026-09-17T16:53:35,BTC,UP,0.696,15.0,8.2,6m left,76698.9,WIN,4.56,0.304,True,True,False,True
1165,2026-09-17T17:23:13,ETH,UP,0.614,15.0,7.0,7m left,2468.3,LOSS,-9.21,-0.6140000000000001,True,False,False,True
1166,2026-09-17T17:23:13,BTC,UP,0.715,15.0,12.7,7m left,76677.2,LOSS,-10.725,-0.715,True,True,False,True
1169,2026-09-17T17:54:06,BTC,UP,0.625,15.0,2.1,6m left,76643.16,WIN,5.625,0.375,True,False,False,True
1170,2026-09-17T17:54:06,ETH,UP,0.711,15.0,5.5,6m left,2463.11,WIN,4.335,0.289,True,True,False,True
1173,2026-09-17T18:02:45,BTC,UP,0.789,15.0,7.6,12m left,76701.14,WIN,3.165,0.211,True,False,False,True
1174,2026-09-17T18:02:45,ETH,UP,0.736,15.0,6.5,12m left,2468.37,LOSS,-11.04,-0.736,True,True,False,True
